20161202 130036041,1.06765,1.06749,0
20161202 130036840,1.06763,1.06747,0
20161202 130039388,1.0676,1.06745,0
20161202 130056473,1.06764,1.06746,0
20161202 130103097,1.0676,1.06745,0
20161202 130112714,1.06763,1.06748,0
20161202 130116466,1.06761,1.06745,0
20161202 130123943,1.06756,1.0674,0
20161202 130125708,1.0676,1.06743,0
20161202 130130325,1.06761,1.06747,0
20161202 130137988,1.06758,1.06744,0
20161202 130138506,1.0676,1.06746,0
20161202 130143980,1.06758,1.06744,0
20161202 130151894,1.06753,1.06738,0
20161202 130154331,1.0675,1.06734,0
20161202 130211074,1.0675,1.0673,0
20161202 130212249,1.0675,1.06735,0
20161202 130214742,1.06753,1.06737,0
20161202 130221435,1.0675,1.06734,0
20161202 130225678,1.06753,1.06736,0
20161202 130228731,1.06751,1.06734,0
20161202 130230731,1.06754,1.06737,0
20161202 130231317,1.06752,1.06736,0
20161202 130232507,1.06749,1.06734,0
20161202 130239319,1.06753,1.06735,0
20161202 130258677,1.06746,1.0673,0
20161202 130259384,1.06743,1.06727,0
20161202 130259644,1.06738,1.0672,0
20161202 130313245,1.06734,1.06718,0
20161202 130320884,1.06732,1.06716,0
20161202 130328268,1.06734,1.06718,0
20161202 130341010,1.06736,1.06722,0
20161202 130344599,1.06733,1.06719,0
20161202 130402182,1.06741,1.06722,0
20161202 130404321,1.06737,1.06722,0
20161202 130406432,1.06739,1.06725,0
20161202 130408487,1.06744,1.06729,0
20161202 130417330,1.06742,1.06727,0
20161202 130426179,1.06745,1.06729,0
20161202 130427697,1.06748,1.06732,0
20161202 130437122,1.06745,1.0673,0
20161202 130437446,1.06742,1.06727,0
20161202 130450188,1.06739,1.06724,0
20161202 130450323,1.06737,1.06721,0
20161202 130452605,1.06739,1.06724,0
20161202 130459830,1.06742,1.06726,0
20161202 130507200,1.06746,1.06729,0
20161202 130519036,1.06749,1.06733,0
20161202 130520017,1.06752,1.06736,0
20161202 130536203,1.06749,1.06734,0
20161202 130536888,1.06746,1.0673,0
20161202 130611694,1.06752,1.06734,0
20161202 130614258,1.06753,1.06737,0
20161202 130616153,1.06755,1.06739,0
20161202 130617911,1.06758,1.06742,0
20161202 130619707,1.06756,1.0674,0
20161202 130620303,1.06758,1.06742,0
20161202 130622118,1.0676,1.06745,0
20161202 130623891,1.06765,1.06749,0
